EmployeeID,Age,Gender,MaritalStatus,EducationLevel,NumDependents,DistanceFromHome_km,Department,JobRole,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsWithCurrentManager,YearsSinceLastPromotion,NumCompaniesWorked,TotalWorkingYears,BaseSalary_USD,StockOptionLevel,PercentSalaryHike,BonusPct,OverTime,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,ManagerRating,CompanyCultureScore,PerformanceRating,TrainingHoursLastYear,NumProjects,AbsenteeismDays,TravelFrequency,RemoteWorkPct,PeerReviewScore,Attrition
EMP01394,32,Male,Married,Bachelor,2,8,Marketing,Marketing Analyst,1,3,1,2,0,3,8,49092,0,13.4,4.8,No,3,5,1,5,4,3,4,32,6,3,Rarely,50,4.15,0
EMP01641,27,Female,Single,Master,0,19,Operations,Supply Chain Specialist,3,5,1,2,2,2,3,79196,1,17.3,7.9,No,4,4,4,2,4,5,5,77,7,1,Frequently,50,4.4,0
EMP00104,56,Female,Married,Bachelor,2,26,Marketing,Marketing Analyst,1,2,2,2,3,3,35,54102,3,7.4,12.5,No,4,4,3,4,1,4,2,64,6,3,Rarely,50,2.86,0
EMP00401,26,Male,Single,Bachelor,1,12,R&D,ML Engineer,1,10,0,1,1,1,2,42922,0,12.3,7.8,No,4,4,3,3,2,5,3,14,1,3,Frequently,75,4.31,1
EMP00621,23,Male,Married,Bachelor,3,26,Engineering,QA Engineer,2,0,0,1,1,3,0,64694,1,19.9,10.3,No,4,5,5,3,3,3,5,66,7,2,None,75,4.35,0
EMP01185,33,Male,Married,Bachelor,1,18,Finance,Finance Manager,4,0,0,0,1,5,9,87275,2,12.3,12.4,No,3,2,2,4,3,4,4,1,6,5,Rarely,25,2.5,0
EMP01814,37,Female,Single,Bachelor,1,8,Finance,Financial Analyst,2,3,1,2,2,8,14,61968,2,7.8,6.7,No,4,5,3,1,2,5,2,59,3,3,Rarely,50,3.87,0
EMP00464,46,Female,Married,Master,3,7,HR,HR Manager,1,3,2,1,3,2,25,53631,0,10.0,0.0,No,1,1,4,2,3,5,2,66,7,3,None,50,2.83,1
EMP01793,26,Male,Married,Bachelor,0,31,HR,HR Specialist,1,10,1,2,1,3,3,47402,0,12.4,3.9,No,5,4,1,3,5,2,5,40,1,0,Rarely,50,3.74,0
EMP01296,25,Male,Married,High School,1,35,Finance,Finance Manager,3,2,0,0,0,1,1,73310,1,20.2,12.7,No,4,1,5,5,5,3,4,12,5,2,Rarely,0,4.18,0
EMP01275,50,Female,Married,Bachelor,2,13,Sales,Sales Lead,2,0,0,1,1,3,30,76299,0,9.9,10.8,Yes,4,3,4,3,4,4,2,71,4,2,Rarely,50,3.93,1
EMP00412,44,Female,Married,Bachelor,3,21,Engineering,Software Engineer,1,5,2,2,0,2,21,60553,2,14.9,5.1,No,5,5,3,2,1,2,5,76,4,2,None,50,4.08,0
EMP00178,58,Male,Married,High School,2,14,Marketing,Content Strategist,5,2,2,2,1,2,38,105555,1,11.1,6.9,Yes,5,4,3,4,3,1,2,42,3,5,Rarely,50,3.23,0
EMP00725,25,Female,Married,Bachelor,0,57,Marketing,Content Strategist,4,3,3,0,2,1,2,81572,1,13.7,7.4,Yes,3,4,3,4,2,4,5,34,6,3,Frequently,25,3.93,1
EMP00791,25,Male,Divorced,Bachelor,2,59,Engineering,Tech Lead,2,6,5,2,0,2,5,57773,0,10.5,8.7,Yes,5,4,4,3,4,5,4,52,4,1,None,50,3.84,0
EMP01241,45,Male,Single,Bachelor,1,37,Operations,Operations Analyst,2,3,3,0,4,1,22,67100,2,12.5,7.4,No,3,4,3,5,1,5,4,78,6,6,Rarely,25,3.45,0
EMP00149,46,Female,Divorced,Bachelor,3,20,Sales,Sales Rep,4,0,0,1,1,4,23,94121,2,10.8,10.4,No,3,5,2,1,2,5,4,56,5,4,None,50,1.72,0
EMP01211,41,Male,Married,High School,2,21,HR,HR Specialist,2,7,0,1,1,4,17,69163,1,5.0,7.1,Yes,4,4,4,4,3,4,5,69,1,4,Rarely,75,4.12,0
EMP01666,49,Female,Married,High School,2,42,Marketing,Content Strategist,2,1,1,0,0,4,26,79391,0,10.7,7.1,No,1,3,5,4,1,3,5,23,6,4,Frequently,100,4.46,1
EMP01826,34,Male,Married,Bachelor,4,20,Operations,Logistics Coordinator,4,0,0,1,0,1,12,98714,1,16.8,7.8,Yes,4,2,4,3,4,4,1,17,1,6,Frequently,25,3.16,1
EMP00049,35,Male,Married,Master,2,22,Engineering,QA Engineer,4,2,1,2,2,2,14,87452,0,15.5,5.7,No,5,4,4,4,5,3,3,67,7,6,Rarely,0,2.58,0
EMP01156,30,Female,Married,Bachelor,0,37,Engineering,QA Engineer,3,1,1,0,2,5,8,70888,0,19.5,12.1,No,4,5,2,5,5,3,3,22,1,4,None,100,3.28,1
EMP00839,29,Non-Binary,Married,Master,2,5,Sales,Sales Lead,3,3,2,3,0,3,8,71001,2,10.0,6.2,Yes,5,4,3,3,3,1,5,26,1,2,Frequently,25,4.28,0
EMP01238,31,Male,Single,Master,2,20,HR,HR Specialist,3,4,0,1,1,3,8,70943,1,10.2,10.8,No,1,1,3,4,3,3,3,63,5,1,Rarely,50,4.48,0
EMP00483,44,Male,Married,Bachelor,2,37,Marketing,Marketing Analyst,1,2,2,3,1,6,20,54294,0,12.4,6.8,Yes,1,3,4,4,3,4,4,21,4,6,Rarely,50,2.81,1
EMP01531,40,Male,Single,Master,2,35,Marketing,Content Strategist,3,20,1,2,0,1,19,73169,1,15.9,8.7,No,3,4,4,5,5,4,3,79,3,4,Rarely,50,2.85,0
EMP00128,25,Male,Single,Bachelor,2,33,Marketing,Content Strategist,1,0,0,0,0,0,4,51774,3,19.8,15.0,Yes,4,3,3,3,4,2,4,1,7,4,Rarely,100,3.75,1
EMP01344,45,Male,Divorced,High School,3,49,Engineering,Tech Lead,2,2,0,1,0,0,21,66576,1,13.5,6.2,Yes,2,2,3,5,4,4,1,57,2,1,None,25,3.04,1
EMP01251,29,Female,Married,Bachelor,2,5,Sales,Account Manager,1,2,2,3,2,3,9,52558,1,15.4,8.8,No,4,3,4,1,4,4,4,62,2,4,None,25,4.34,0
EMP01729,33,Male,Married,High School,3,35,Finance,Finance Manager,1,2,2,3,1,4,11,45403,2,14.5,4.4,No,2,2,5,4,4,5,3,63,1,3,None,50,3.53,1
EMP01356,47,Male,Married,Bachelor,0,57,Engineering,QA Engineer,2,2,1,0,0,3,26,63579,0,19.7,10.1,No,2,3,4,4,4,1,4,53,7,2,Frequently,0,3.73,1
EMP01860,47,Male,Married,PhD,0,30,Engineering,Tech Lead,5,6,2,0,1,1,27,100798,2,18.5,5.2,No,4,4,4,5,4,5,3,6,2,6,Rarely,0,4.09,0
EMP00822,58,Male,Divorced,High School,2,26,Sales,Sales Rep,3,11,1,2,0,2,35,81397,1,13.4,5.3,No,3,3,2,4,4,5,4,43,6,2,Frequently,75,4.15,0
EMP01290,58,Male,Married,Master,0,11,Sales,Account Manager,1,8,8,0,2,3,36,67378,0,13.4,10.0,Yes,5,4,4,3,4,3,4,32,5,4,Rarely,75,2.09,0
EMP00059,47,Male,Married,High School,0,2,Sales,Account Manager,1,0,0,0,1,2,27,58898,0,13.0,8.6,No,3,3,4,3,2,1,4,37,2,1,Rarely,75,3.03,0
EMP01450,53,Female,Married,Bachelor,3,4,Operations,Logistics Coordinator,2,1,1,0,1,1,30,74047,1,14.3,6.6,No,2,4,3,3,3,5,4,54,5,2,Rarely,50,4.98,0
EMP01509,34,Male,Divorced,PhD,1,47,Operations,Logistics Coordinator,4,22,1,2,0,1,10,81592,1,16.5,6.4,No,5,4,3,4,5,4,4,74,4,3,None,50,4.09,0
EMP01114,31,Female,Divorced,High School,2,51,Marketing,Marketing Analyst,4,9,1,0,1,1,11,92578,3,12.9,13.4,No,5,4,3,5,2,3,5,11,5,3,Frequently,25,3.23,0
EMP00468,58,Female,Single,Bachelor,3,53,Operations,Operations Analyst,3,5,0,1,0,1,38,81978,2,9.3,5.6,No,2,3,5,4,2,3,4,26,6,3,Rarely,100,4.43,1
EMP00597,49,Male,Married,Master,2,49,Operations,Logistics Coordinator,2,3,3,0,0,2,27,68549,1,10.2,9.5,No,2,3,3,3,3,5,3,53,6,4,None,0,4.6,0
EMP00131,44,Male,Married,Bachelor,0,19,R&D,ML Engineer,3,7,0,0,1,4,21,81670,1,16.1,11.3,Yes,3,3,2,4,4,1,4,38,7,3,None,100,2.86,0
EMP01107,25,Male,Married,Bachelor,3,52,Engineering,Software Engineer,2,9,0,1,1,1,5,53817,0,13.3,10.1,No,5,3,2,4,4,4,3,59,2,6,None,100,3.98,0
EMP01902,25,Male,Single,PhD,4,35,Finance,Finance Manager,4,1,1,2,2,4,3,89737,1,14.0,13.4,Yes,4,1,4,2,4,5,3,62,6,3,Rarely,0,3.64,1
EMP00170,23,Female,Married,High School,1,24,Operations,Supply Chain Specialist,3,14,0,1,1,5,0,67461,3,9.2,10.0,Yes,4,4,4,5,5,2,3,51,3,3,None,100,3.19,0
EMP00184,47,Male,Single,High School,1,4,Sales,Sales Lead,2,0,0,0,1,3,26,66796,0,16.0,8.6,No,4,4,4,1,1,4,4,46,1,10,Rarely,0,3.72,1
EMP01416,61,Male,Married,High School,2,4,HR,HR Manager,4,22,10,2,6,1,40,109654,2,18.3,4.1,Yes,1,4,2,4,5,3,4,32,5,2,Rarely,100,2.79,0
EMP01026,28,Female,Married,Bachelor,2,48,Sales,Sales Rep,5,0,0,0,1,0,8,92868,0,6.3,5.8,Yes,2,3,3,1,4,4,2,25,6,3,Rarely,0,3.56,1
EMP01832,25,Female,Married,Bachelor,1,9,Marketing,Brand Manager,4,1,0,1,0,2,2,86134,1,14.3,8.3,Yes,2,2,3,2,3,4,3,17,1,5,Frequently,25,3.41,1
EMP01198,32,Male,Divorced,Bachelor,1,19,Marketing,Brand Manager,4,1,0,1,1,1,12,89242,2,15.9,12.7,No,4,4,4,4,2,3,3,0,6,4,Rarely,0,2.74,0
EMP01338,25,Male,Single,Bachelor,2,53,Sales,Sales Lead,1,17,0,0,0,1,2,47540,2,12.8,10.2,No,2,4,4,4,3,4,5,58,5,4,Frequently,0,2.49,1
EMP00579,41,Female,Married,Bachelor,0,38,R&D,ML Engineer,2,1,0,1,1,1,19,69072,3,9.6,6.8,No,3,5,4,3,2,4,4,63,1,2,Frequently,0,2.79,1
EMP00867,61,Male,Single,Bachelor,1,13,Marketing,Marketing Analyst,3,2,0,1,1,1,38,86436,1,17.3,5.1,No,3,4,4,3,1,5,4,21,2,4,Rarely,100,2.28,0
EMP01103,45,Female,Divorced,Bachelor,2,52,Operations,Supply Chain Specialist,1,3,2,1,0,2,24,49361,3,14.8,7.0,No,5,4,4,4,4,5,1,37,5,3,Rarely,50,2.44,0
EMP00837,36,Female,Married,Bachelor,1,20,Finance,Accountant,3,2,0,1,1,4,14,68199,1,5.0,5.1,Yes,3,5,2,4,5,4,4,39,2,2,Rarely,25,3.25,0
EMP01203,61,Female,Married,Bachelor,0,20,Engineering,Software Engineer,3,0,0,1,0,2,37,89027,1,12.4,5.9,No,2,3,4,3,3,3,4,6,7,3,Frequently,50,2.54,1
EMP01325,51,Male,Single,Bachelor,2,9,R&D,Data Scientist,1,3,3,1,2,2,30,51703,0,12.4,9.0,No,2,5,2,4,4,4,3,5,4,5,None,25,2.81,0
EMP00330,46,Male,Single,High School,0,53,Finance,Financial Analyst,5,0,0,1,0,2,23,101966,1,16.2,8.0,Yes,2,4,1,1,5,3,3,55,3,2,Frequently,25,2.76,1
EMP01754,58,Female,Single,PhD,1,38,HR,Recruiter,4,0,0,1,1,2,36,94512,1,11.5,0.3,No,5,2,3,5,1,4,4,32,2,2,Frequently,25,2.86,1
EMP00215,61,Male,Single,High School,1,58,Marketing,Marketing Analyst,3,1,1,0,0,1,38,84308,0,16.2,11.5,No,3,4,5,5,5,3,3,45,7,6,Rarely,100,3.99,0
EMP00342,36,Female,Married,Master,2,50,HR,Recruiter,4,7,1,2,1,3,12,82693,2,9.8,9.4,No,4,5,4,4,1,4,3,66,7,2,Rarely,50,3.16,0
EMP01493,28,Female,Married,Bachelor,2,38,Finance,Financial Analyst,4,0,0,1,1,3,6,86184,3,15.3,7.0,No,4,5,3,3,3,4,2,0,5,2,Rarely,50,3.63,0
EMP01668,56,Female,Married,Bachelor,4,52,R&D,Data Scientist,2,4,4,2,5,6,36,61713,1,8.3,15.0,No,4,4,4,4,3,5,3,67,3,4,Frequently,0,3.06,0
EMP01194,57,Male,Divorced,Master,1,31,Finance,Accountant,1,11,1,0,2,3,35,63615,1,14.5,13.0,No,2,4,3,4,3,1,4,54,4,3,None,25,2.57,0
EMP00812,25,Female,Single,Bachelor,4,20,Finance,Financial Analyst,1,0,0,1,0,2,1,54014,3,17.5,2.9,No,1,1,5,1,2,4,5,0,2,7,Frequently,100,4.1,1
EMP01556,45,Male,Married,Bachelor,2,11,Engineering,DevOps Engineer,1,0,0,1,1,4,21,57344,2,13.1,9.7,No,4,3,5,5,4,3,5,52,3,4,Frequently,100,3.66,1
EMP01014,36,Male,Married,Master,3,50,Sales,Account Manager,2,0,0,1,1,5,13,62912,1,7.3,5.5,Yes,5,4,4,5,4,4,2,49,5,2,Frequently,0,2.96,1
EMP01938,30,Male,Married,Master,2,43,Sales,Sales Lead,2,6,5,3,6,3,9,64468,0,12.4,3.8,No,3,4,5,4,3,3,3,78,4,4,Rarely,75,3.25,0
EMP00267,41,Female,Married,Bachelor,1,53,HR,HR Manager,2,1,0,0,1,0,18,72438,1,9.5,7.1,No,4,3,3,2,5,3,1,10,6,3,None,25,3.75,0
EMP00007,40,Female,Divorced,Master,2,41,R&D,Data Scientist,1,0,0,1,0,1,17,57311,2,13.9,5.1,No,5,1,4,4,4,4,3,49,6,2,Rarely,50,3.36,0
EMP00679,44,Male,Single,Master,2,28,Engineering,Tech Lead,2,5,3,4,2,1,22,65709,0,14.1,12.0,No,2,3,3,3,5,5,3,36,2,2,Rarely,25,3.85,0
EMP00236,30,Male,Single,Master,0,46,R&D,Research Scientist,4,2,1,0,0,2,8,77787,1,15.4,9.2,No,4,3,4,5,5,1,3,40,7,2,None,25,3.31,0
EMP01560,46,Female,Married,Master,2,14,Sales,Account Manager,1,0,0,0,1,2,23,68226,1,9.1,5.9,No,4,3,4,1,4,5,5,47,5,3,None,0,3.99,0
EMP01514,32,Female,Married,Bachelor,0,13,R&D,ML Engineer,3,0,0,1,0,4,10,67989,2,16.0,8.8,No,4,4,3,2,3,4,4,39,1,0,Rarely,100,2.65,0
EMP01237,38,Male,Single,High School,1,6,Sales,Sales Rep,2,8,1,2,1,4,17,72538,2,8.4,6.7,No,3,3,4,3,3,1,3,69,3,2,Frequently,50,3.32,0
EMP00369,38,Male,Married,Bachelor,3,1,Operations,Logistics Coordinator,4,0,0,1,1,2,16,95860,1,16.2,4.9,No,5,3,3,4,3,4,3,63,7,7,Frequently,75,3.87,0
EMP01453,38,Female,Married,Bachelor,3,12,Finance,Finance Manager,3,0,0,0,0,1,18,76937,0,12.7,10.0,No,4,2,3,4,3,4,3,54,3,3,Rarely,50,2.97,0
EMP00057,50,Male,Married,Master,0,2,R&D,ML Engineer,3,3,2,0,0,1,30,84830,1,5.0,4.7,Yes,3,2,2,4,5,2,3,20,1,3,Rarely,0,1.74,0
EMP00719,52,Female,Married,High School,0,32,Finance,Financial Analyst,3,2,2,3,0,1,29,81686,0,16.5,11.0,No,1,3,5,3,5,2,3,23,4,2,Rarely,50,4.04,1
EMP00157,27,Male,Divorced,Bachelor,4,14,Sales,Sales Lead,3,1,1,0,1,3,6,78893,1,12.3,7.5,No,5,3,4,3,3,2,4,14,5,1,None,75,4.65,0
EMP01697,61,Non-Binary,Married,Master,0,53,Operations,Logistics Coordinator,3,2,2,1,0,2,39,81472,1,13.0,8.2,No,3,1,3,3,4,1,4,70,4,0,Frequently,75,2.82,0
EMP00113,24,Male,Married,Master,0,21,Marketing,Marketing Analyst,4,10,3,3,2,3,2,98150,1,13.0,4.6,No,1,3,2,5,4,5,3,6,6,5,None,100,4.29,0
EMP00876,36,Male,Married,Master,2,58,Sales,Sales Lead,4,0,0,1,1,2,12,84082,0,7.3,6.4,No,5,2,5,4,5,4,3,14,5,2,Rarely,50,4.91,1
EMP01781,44,Male,Married,Bachelor,0,55,Finance,Accountant,2,7,3,0,3,3,22,64022,0,11.9,9.9,No,4,4,4,5,2,3,2,61,6,3,Rarely,50,5.0,0
EMP00962,26,Male,Single,Bachelor,4,32,Marketing,Brand Manager,1,8,1,2,2,3,3,52605,1,23.1,9.7,No,4,2,4,3,4,4,5,23,2,2,Rarely,25,4.54,0
EMP01013,61,Female,Single,High School,2,32,Operations,Logistics Coordinator,3,0,0,1,1,6,40,79804,1,20.0,0.5,No,5,1,2,3,4,3,2,61,1,5,Rarely,75,4.15,1
EMP00982,47,Female,Married,Master,1,28,Operations,Logistics Coordinator,1,0,0,0,1,1,26,66896,1,14.0,8.4,No,4,4,4,4,3,1,5,25,4,5,Rarely,100,4.11,0
EMP01289,24,Female,Single,Bachelor,1,6,Sales,Account Manager,1,6,1,0,1,0,0,50023,0,15.9,9.9,Yes,3,4,4,5,4,2,4,66,7,3,Rarely,25,3.68,0
EMP01401,47,Male,Single,Master,0,55,Engineering,QA Engineer,4,2,1,0,1,1,25,90922,3,12.8,5.2,Yes,2,5,1,2,5,3,3,51,6,3,None,25,3.02,1
EMP01166,39,Male,Married,Bachelor,0,49,Operations,Supply Chain Specialist,1,7,3,0,0,2,18,50437,0,13.5,8.0,No,4,3,1,4,5,4,3,36,7,5,Rarely,50,3.24,0
EMP00841,26,Male,Divorced,Master,2,37,Engineering,QA Engineer,3,0,0,1,1,1,5,66772,0,15.4,7.5,No,3,5,5,4,3,4,4,32,6,9,Frequently,50,3.33,0
EMP00393,37,Male,Married,Master,2,18,Marketing,Brand Manager,3,0,0,0,0,3,13,81375,1,18.4,2.6,No,3,5,3,5,3,1,3,63,4,5,None,50,3.23,0
EMP01342,27,Female,Married,Bachelor,0,54,Operations,Logistics Coordinator,4,2,2,1,0,4,6,95843,2,13.8,8.3,No,4,5,4,2,3,4,4,28,2,9,None,0,3.39,0
EMP01329,25,Female,Single,Master,1,49,Operations,Operations Analyst,4,8,8,0,4,2,1,81593,2,8.0,8.2,Yes,2,2,1,3,1,1,5,17,1,2,Rarely,25,2.84,1
EMP00629,32,Male,Divorced,Bachelor,1,14,Sales,Sales Rep,3,3,3,4,2,1,8,74711,0,10.8,6.3,Yes,2,4,5,2,3,4,3,78,4,5,Rarely,75,3.45,1
EMP01728,61,Female,Married,Bachelor,0,18,Finance,Accountant,4,6,5,0,0,0,37,108435,1,10.2,9.7,No,2,4,3,4,4,5,5,12,6,5,Frequently,0,4.13,0
EMP00045,49,Female,Married,PhD,2,35,R&D,ML Engineer,4,5,2,0,3,2,25,82719,1,24.1,13.7,No,3,4,5,2,5,5,2,65,6,4,Rarely,50,4.13,0
EMP00255,50,Female,Married,Bachelor,0,23,R&D,Data Scientist,5,29,6,1,3,8,27,97895,2,5.0,7.6,Yes,4,3,5,2,5,4,4,60,4,2,Frequently,25,3.94,0
EMP00504,26,Female,Married,Bachelor,4,57,Engineering,Tech Lead,1,6,3,1,0,3,6,49511,1,8.4,7.1,Yes,5,3,4,3,3,4,5,12,6,4,Rarely,25,3.81,0
EMP01312,53,Male,Single,High School,0,58,HR,Recruiter,3,4,0,0,0,5,29,72317,0,18.2,7.2,No,3,2,3,1,4,4,3,59,1,3,None,100,3.91,1
EMP01316,50,Female,Married,Master,0,18,HR,Recruiter,2,5,1,0,0,0,28,66604,0,15.4,10.1,No,5,4,1,3,2,5,2,27,4,2,Rarely,0,2.93,0
EMP01649,44,Female,Divorced,Bachelor,2,7,R&D,Research Scientist,1,7,0,1,1,2,23,50850,1,17.1,4.4,No,2,4,3,1,4,5,3,37,3,4,None,75,3.72,0
EMP01894,36,Female,Single,Bachelor,3,52,Operations,Logistics Coordinator,3,1,1,0,2,1,14,79128,0,14.2,5.9,Yes,5,1,2,3,5,2,4,28,4,5,Rarely,100,3.83,1
EMP01361,44,Male,Single,Bachelor,0,30,R&D,ML Engineer,5,2,1,0,0,5,20,100043,0,13.4,7.0,No,4,5,5,3,4,2,4,71,5,8,Rarely,50,5.0,0
EMP00987,39,Female,Single,Master,2,55,Operations,Supply Chain Specialist,2,2,2,3,0,3,16,63540,2,9.0,7.2,No,4,4,3,4,5,4,3,52,7,5,None,50,3.73,0
EMP01540,45,Female,Divorced,Master,3,38,Marketing,Marketing Analyst,3,2,0,1,1,0,23,78105,1,21.9,10.1,No,5,4,3,4,4,2,3,76,5,3,Frequently,50,4.43,0
EMP01001,35,Female,Divorced,Bachelor,1,7,R&D,Data Scientist,3,5,1,2,2,0,11,86255,1,10.2,14.3,No,3,2,5,1,4,2,2,22,6,6,None,50,3.72,0
EMP00578,40,Male,Married,Bachelor,0,16,Finance,Accountant,2,0,0,0,1,4,17,62379,3,11.5,10.7,Yes,1,4,5,3,4,4,5,32,6,3,Rarely,50,4.33,1
EMP01112,39,Male,Single,Bachelor,2,19,Marketing,Content Strategist,5,2,2,3,0,4,15,102390,1,16.0,11.3,No,4,5,3,4,3,4,2,20,6,1,Rarely,25,3.29,0
EMP01809,25,Female,Single,High School,2,26,Engineering,QA Engineer,2,3,3,3,0,1,4,71392,0,7.1,8.6,No,1,5,4,3,5,5,3,60,6,5,Rarely,100,2.98,0
EMP01120,40,Female,Single,Bachelor,3,52,Marketing,Brand Manager,2,4,0,0,1,5,18,71121,0,14.1,8.9,No,3,5,3,2,4,3,4,56,4,7,None,75,2.96,0
EMP01570,23,Male,Divorced,Master,0,58,Sales,Sales Rep,3,13,0,0,1,3,2,72578,1,10.2,3.6,No,1,5,5,3,3,3,3,70,3,2,Rarely,50,3.59,0
EMP01711,26,Male,Married,Bachelor,1,56,Engineering,QA Engineer,2,6,1,2,1,4,3,65932,0,10.4,6.3,Yes,4,2,5,3,5,2,4,43,7,4,Rarely,75,4.2,1
EMP01267,43,Male,Married,Bachelor,0,58,Operations,Logistics Coordinator,2,2,2,1,3,3,22,66806,3,7.3,7.1,Yes,3,3,5,4,4,4,5,51,7,0,Frequently,25,3.28,1
EMP01725,58,Male,Married,Master,0,11,Marketing,Brand Manager,2,15,3,0,4,2,35,55106,0,6.9,3.9,No,1,4,2,5,4,3,3,42,4,3,Rarely,0,3.29,1
EMP00958,45,Female,Married,High School,1,49,Finance,Accountant,5,2,2,0,2,1,23,110199,1,11.6,8.5,No,2,4,3,3,3,3,3,41,1,6,None,100,4.31,0
EMP00638,56,Female,Married,Bachelor,0,56,Operations,Supply Chain Specialist,3,3,2,2,1,1,34,88972,1,17.4,12.9,No,3,4,3,2,4,3,1,59,2,2,Rarely,0,2.84,0
EMP00466,57,Male,Single,Bachelor,0,22,Marketing,Marketing Analyst,4,1,1,0,0,5,36,87304,1,18.8,10.4,No,3,2,4,4,3,2,5,77,6,1,Frequently,0,3.43,1
EMP01893,32,Male,Married,Bachelor,0,28,Marketing,Content Strategist,3,0,0,1,1,3,12,74099,2,9.7,6.4,No,4,1,5,4,4,2,2,38,1,3,Rarely,100,4.0,0
EMP01772,35,Female,Single,Bachelor,3,46,Finance,Accountant,3,1,0,1,0,1,11,69529,0,8.2,12.4,Yes,4,4,4,3,4,5,3,42,5,5,None,75,3.29,1
EMP00142,27,Male,Single,High School,0,56,Engineering,Tech Lead,5,0,0,1,0,1,5,93776,1,11.8,8.8,No,5,4,3,5,5,1,2,13,4,3,Rarely,50,4.56,0
EMP00650,58,Female,Married,Bachelor,2,47,Sales,Account Manager,2,1,1,0,1,2,36,68421,0,16.4,4.5,No,5,5,4,5,5,2,3,44,5,3,Rarely,0,4.0,0
EMP00572,37,Female,Divorced,Bachelor,0,16,Marketing,Brand Manager,4,0,0,0,0,2,14,85290,1,15.5,8.5,No,4,4,3,3,4,4,5,10,4,2,Frequently,50,3.27,0
EMP00943,54,Female,Married,Bachelor,3,3,Engineering,DevOps Engineer,1,1,0,1,0,2,32,57662,2,5.0,6.8,No,4,5,3,5,5,3,3,37,3,1,Rarely,50,4.38,0
EMP00728,53,Female,Divorced,Master,2,17,Operations,Logistics Coordinator,3,2,2,0,0,2,33,75987,3,15.2,10.5,No,1,4,5,4,5,5,4,73,1,1,Rarely,75,5.0,0
EMP00258,23,Female,Married,PhD,2,9,Engineering,QA Engineer,3,2,1,0,0,3,2,76142,0,20.7,8.4,No,1,3,3,3,4,5,4,39,6,2,Frequently,25,3.81,1
